,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot,Label
127,88.89,55.19,0.41666666666667,6,4510.668121,66.67,33.33,Reaction
128,90.2,56.88,0.43478260869565,5,4609.952379,80.00,20.00,Tap
129,83.33,50.81,0.44444444444444,9,4328.126568,55.56,44.44,Tap
130,87.27,45.01,0.41666666666667,7,4525.928154,42.86,57.14,Reaction
131,88.24,46.45,0.44444444444444,6,4514.345136,33.33,66.67,Flick
132,92.31,53.71,0.41666666666667,4,4545.530116,25.00,75.00,Tap
133,86.79,46.2,0.43478260869565,7,4240.901189,28.57,71.43,Flick
134,85.71,55.74,0.47619047619048,7,4177.306193,57.14,42.86,Tap
135,85.71,49.21,0.41666666666667,8,4349.654856,50.00,50.00,Reaction
136,88.68,57.76,0.42553191489362,6,4519.390241,66.67,33.33,Tap
